"run_id","window","month_key","from","to","status","net_profit","profit_factor","trade_count","max_equity_dd_pct","report","set_file","config_file","notes"
"v867_month_cluster__201702_0014","2012-2019","201702","2017.02.01","2017.02.28","completed","824.36","1.83","2","9.78","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201702_0014\v867_month_cluster__201702_0014.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201702_0014.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201702_0014\v867_month_cluster__201702_0014.ini","month_cluster=201702"
"v867_month_cluster__201703_0015","2012-2019","201703","2017.03.01","2017.03.31","completed","-373.76","0.00","1","3.42","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201703_0015\v867_month_cluster__201703_0015.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201703_0015.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201703_0015\v867_month_cluster__201703_0015.ini","month_cluster=201703"
"v867_month_cluster__201704_0016","2012-2019","201704","2017.04.01","2017.04.30","completed","401.63","1.18","3","16.82","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201704_0016\v867_month_cluster__201704_0016.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201704_0016.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201704_0016\v867_month_cluster__201704_0016.ini","month_cluster=201704"
"v867_month_cluster__201705_0017","2012-2019","201705","2017.05.01","2017.05.31","completed","-3062.67","0.08","5","17.08","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201705_0017\v867_month_cluster__201705_0017.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201705_0017.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201705_0017\v867_month_cluster__201705_0017.ini","month_cluster=201705"
"v867_month_cluster__201706_0018","2012-2019","201706","2017.06.01","2017.06.30","completed","-2452.92","0.02","4","21.50","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201706_0018\v867_month_cluster__201706_0018.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201706_0018.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201706_0018\v867_month_cluster__201706_0018.ini","month_cluster=201706"
"v867_month_cluster__201907_0019","2012-2019","201907","2019.07.01","2019.07.31","completed","434.19","1.42","2","20.08","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201907_0019\v867_month_cluster__201907_0019.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201907_0019.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201907_0019\v867_month_cluster__201907_0019.ini","month_cluster=201907"
"v867_month_cluster__201908_0020","2012-2019","201908","2019.08.01","2019.08.31","completed","-968.38","0.69","5","16.10","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201908_0020\v867_month_cluster__201908_0020.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201908_0020.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201908_0020\v867_month_cluster__201908_0020.ini","month_cluster=201908"
"v867_month_cluster__201909_0021","2012-2019","201909","2019.09.01","2019.09.30","completed","-1039.13","0.00","1","14.28","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201909_0021\v867_month_cluster__201909_0021.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201909_0021.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201909_0021\v867_month_cluster__201909_0021.ini","month_cluster=201909"
"v867_month_cluster__201910_0022","2012-2019","201910","2019.10.01","2019.10.31","completed","-2000.80","0.00","3","15.91","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201910_0022\v867_month_cluster__201910_0022.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201910_0022.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201910_0022\v867_month_cluster__201910_0022.ini","month_cluster=201910"
"v867_month_cluster__201911_0023","2012-2019","201911","2019.11.01","2019.11.30","completed","-900.10","0.10","3","9.32","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201911_0023\v867_month_cluster__201911_0023.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201911_0023.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201911_0023\v867_month_cluster__201911_0023.ini","month_cluster=201911"
"v867_month_cluster__201912_0024","2012-2019","201912","2019.12.01","2019.12.31","completed","184.94","1.81","2","5.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201912_0024\v867_month_cluster__201912_0024.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201912_0024.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201912_0024\v867_month_cluster__201912_0024.ini","month_cluster=201912"
