"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file"
"v86_A_monthly_full_201812_20260620_033821_case0167","monthly_full","A","v8.6","v8.6 robust case0502","201812","2018.12.01","2018.12.31","completed","7028.89","0.00","3058.30","12.08","3","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201812\v86_A_monthly_full_201812_20260620_033821_case0167\v86_A_monthly_full_201812_20260620_033821_case0167.htm","E:\CODEXMACD\HCSJ\set\v8.6\201812\v86_A_monthly_full_201812_20260620_033821_case0167.set"
"v866_D_monthly_full_201812_20260620_033821_case0168","monthly_full","D","v8.66","v8.66 conservative case0401","201812","2018.12.01","2018.12.31","completed","5162.74","0.00","2499.95","10.37","3","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201812\v866_D_monthly_full_201812_20260620_033821_case0168\v866_D_monthly_full_201812_20260620_033821_case0168.htm","E:\CODEXMACD\HCSJ\set\v8.66\201812\v866_D_monthly_full_201812_20260620_033821_case0168.set"
"v86_A_monthly_full_201901_20260620_033821_case0169","monthly_full","A","v8.6","v8.6 robust case0502","201901","2019.01.01","2019.01.31","completed","2780.05","2.21","3052.76","14.99","7","14.29","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201901\v86_A_monthly_full_201901_20260620_033821_case0169\v86_A_monthly_full_201901_20260620_033821_case0169.htm","E:\CODEXMACD\HCSJ\set\v8.6\201901\v86_A_monthly_full_201901_20260620_033821_case0169.set"
"v866_D_monthly_full_201901_20260620_033821_case0170","monthly_full","D","v8.66","v8.66 conservative case0401","201901","2019.01.01","2019.01.31","completed","2139.82","2.14","2464.02","12.15","7","14.29","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201901\v866_D_monthly_full_201901_20260620_033821_case0170\v866_D_monthly_full_201901_20260620_033821_case0170.htm","E:\CODEXMACD\HCSJ\set\v8.66\201901\v866_D_monthly_full_201901_20260620_033821_case0170.set"
"v86_A_monthly_full_201902_20260620_033821_case0171","monthly_full","A","v8.6","v8.6 robust case0502","201902","2019.02.01","2019.02.28","completed","-1023.26","0.00","1164.02","5.78","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201902\v86_A_monthly_full_201902_20260620_033821_case0171\v86_A_monthly_full_201902_20260620_033821_case0171.htm","E:\CODEXMACD\HCSJ\set\v8.6\201902\v86_A_monthly_full_201902_20260620_033821_case0171.set"
"v866_D_monthly_full_201902_20260620_033821_case0172","monthly_full","D","v8.66","v8.66 conservative case0401","201902","2019.02.01","2019.02.28","completed","-879.43","0.00","988.45","4.92","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201902\v866_D_monthly_full_201902_20260620_033821_case0172\v866_D_monthly_full_201902_20260620_033821_case0172.htm","E:\CODEXMACD\HCSJ\set\v8.66\201902\v866_D_monthly_full_201902_20260620_033821_case0172.set"
"v86_A_monthly_full_201903_20260620_033821_case0173","monthly_full","A","v8.6","v8.6 robust case0502","201903","2019.03.01","2019.03.31","completed","-4551.61","0.00","5356.71","25.75","5","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201903\v86_A_monthly_full_201903_20260620_033821_case0173\v86_A_monthly_full_201903_20260620_033821_case0173.htm","E:\CODEXMACD\HCSJ\set\v8.6\201903\v86_A_monthly_full_201903_20260620_033821_case0173.set"
"v866_D_monthly_full_201903_20260620_033821_case0174","monthly_full","D","v8.66","v8.66 conservative case0401","201903","2019.03.01","2019.03.31","completed","-3962.40","0.00","4584.90","22.23","5","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201903\v866_D_monthly_full_201903_20260620_033821_case0174\v866_D_monthly_full_201903_20260620_033821_case0174.htm","E:\CODEXMACD\HCSJ\set\v8.66\201903\v866_D_monthly_full_201903_20260620_033821_case0174.set"
"v86_A_monthly_full_201904_20260620_033821_case0175","monthly_full","A","v8.6","v8.6 robust case0502","201904","2019.04.01","2019.04.30","completed","-1185.33","0.29","1815.09","8.88","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201904\v86_A_monthly_full_201904_20260620_033821_case0175\v86_A_monthly_full_201904_20260620_033821_case0175.htm","E:\CODEXMACD\HCSJ\set\v8.6\201904\v86_A_monthly_full_201904_20260620_033821_case0175.set"
"v866_D_monthly_full_201904_20260620_033821_case0176","monthly_full","D","v8.66","v8.66 conservative case0401","201904","2019.04.01","2019.04.30","completed","-1001.59","0.27","1495.73","7.35","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201904\v866_D_monthly_full_201904_20260620_033821_case0176\v866_D_monthly_full_201904_20260620_033821_case0176.htm","E:\CODEXMACD\HCSJ\set\v8.66\201904\v866_D_monthly_full_201904_20260620_033821_case0176.set"
"v86_A_monthly_full_201905_20260620_033821_case0177","monthly_full","A","v8.6","v8.6 robust case0502","201905","2019.05.01","2019.05.31","completed","1793.60","0.00","686.81","3.21","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201905\v86_A_monthly_full_201905_20260620_033821_case0177\v86_A_monthly_full_201905_20260620_033821_case0177.htm","E:\CODEXMACD\HCSJ\set\v8.6\201905\v86_A_monthly_full_201905_20260620_033821_case0177.set"
"v866_D_monthly_full_201905_20260620_033821_case0178","monthly_full","D","v8.66","v8.66 conservative case0401","201905","2019.05.01","2019.05.31","completed","1377.24","0.00","528.01","2.51","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201905\v866_D_monthly_full_201905_20260620_033821_case0178\v866_D_monthly_full_201905_20260620_033821_case0178.htm","E:\CODEXMACD\HCSJ\set\v8.66\201905\v866_D_monthly_full_201905_20260620_033821_case0178.set"
"v86_A_monthly_full_201906_20260620_033821_case0179","monthly_full","A","v8.6","v8.6 robust case0502","201906","2019.06.01","2019.06.30","completed","-917.22","0.68","3281.70","16.22","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201906\v86_A_monthly_full_201906_20260620_033821_case0179\v86_A_monthly_full_201906_20260620_033821_case0179.htm","E:\CODEXMACD\HCSJ\set\v8.6\201906\v86_A_monthly_full_201906_20260620_033821_case0179.set"
"v866_D_monthly_full_201906_20260620_033821_case0180","monthly_full","D","v8.66","v8.66 conservative case0401","201906","2019.06.01","2019.06.30","completed","-949.00","0.61","2800.60","13.88","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201906\v866_D_monthly_full_201906_20260620_033821_case0180\v866_D_monthly_full_201906_20260620_033821_case0180.htm","E:\CODEXMACD\HCSJ\set\v8.66\201906\v866_D_monthly_full_201906_20260620_033821_case0180.set"
"v86_A_monthly_full_201907_20260620_033821_case0181","monthly_full","A","v8.6","v8.6 robust case0502","201907","2019.07.01","2019.07.31","completed","594.69","1.57","4991.58","21.78","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201907\v86_A_monthly_full_201907_20260620_033821_case0181\v86_A_monthly_full_201907_20260620_033821_case0181.htm","E:\CODEXMACD\HCSJ\set\v8.6\201907\v86_A_monthly_full_201907_20260620_033821_case0181.set"
