"run_id","window","quarter","from","to","status","net_profit","profit_factor","trade_count","max_equity_dd_pct","report","set_file","config_file","notes"
"v867q_clean_2012_2019__q17_0017","2012-2019","17","2016.01.01","2016.03.31","completed","12525.37","6.34","5","20.05","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q17_0017\v867q_clean_2012_2019__q17_0017.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q17_0017.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q17_0017\v867q_clean_2012_2019__q17_0017.ini","quarter=17"
"v867q_clean_2012_2019__q18_0018","2012-2019","18","2016.04.01","2016.06.30","completed","2474.20","1.67","8","21.90","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q18_0018\v867q_clean_2012_2019__q18_0018.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q18_0018.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q18_0018\v867q_clean_2012_2019__q18_0018.ini","quarter=18"
"v867q_clean_2012_2019__q19_0019","2012-2019","19","2016.07.01","2016.09.30","completed","-3325.47","0.23","9","20.59","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q19_0019\v867q_clean_2012_2019__q19_0019.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q19_0019.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q19_0019\v867q_clean_2012_2019__q19_0019.ini","quarter=19"
"v867q_clean_2012_2019__q20_0020","2012-2019","20","2016.10.01","2016.12.31","completed","2664.55","1.77","5","24.99","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q20_0020\v867q_clean_2012_2019__q20_0020.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q20_0020.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q20_0020\v867q_clean_2012_2019__q20_0020.ini","quarter=20"
"v867q_clean_2012_2019__q21_0021","2012-2019","21","2017.01.01","2017.03.31","completed","-3204.54","0.35","8","24.30","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q21_0021\v867q_clean_2012_2019__q21_0021.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q21_0021.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q21_0021\v867q_clean_2012_2019__q21_0021.ini","quarter=21"
"v867q_clean_2012_2019__q22_0022","2012-2019","22","2017.04.01","2017.06.30","completed","-4849.68","0.38","12","39.14","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q22_0022\v867q_clean_2012_2019__q22_0022.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q22_0022.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q22_0022\v867q_clean_2012_2019__q22_0022.ini","quarter=22"
"v867q_clean_2012_2019__q23_0023","2012-2019","23","2017.07.01","2017.09.30","completed","1740.24","2.13","8","10.57","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q23_0023\v867q_clean_2012_2019__q23_0023.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q23_0023.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q23_0023\v867q_clean_2012_2019__q23_0023.ini","quarter=23"
"v867q_clean_2012_2019__q24_0024","2012-2019","24","2017.10.01","2017.12.31","completed","3277.44","1.64","11","28.05","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q24_0024\v867q_clean_2012_2019__q24_0024.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q24_0024.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q24_0024\v867q_clean_2012_2019__q24_0024.ini","quarter=24"
"v867q_clean_2012_2019__q25_0025","2012-2019","25","2018.01.01","2018.03.31","completed","-1048.57","0.00","2","13.99","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q25_0025\v867q_clean_2012_2019__q25_0025.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q25_0025.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q25_0025\v867q_clean_2012_2019__q25_0025.ini","quarter=25"
"v867q_clean_2012_2019__q26_0026","2012-2019","26","2018.04.01","2018.06.30","completed","5769.32","2.37","7","19.50","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q26_0026\v867q_clean_2012_2019__q26_0026.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q26_0026.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q26_0026\v867q_clean_2012_2019__q26_0026.ini","quarter=26"
"v867q_clean_2012_2019__q27_0027","2012-2019","27","2018.07.01","2018.09.30","completed","7462.73","2.47","10","22.24","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q27_0027\v867q_clean_2012_2019__q27_0027.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q27_0027.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q27_0027\v867q_clean_2012_2019__q27_0027.ini","quarter=27"
"v867q_clean_2012_2019__q28_0028","2012-2019","28","2018.10.01","2018.12.31","completed","2140.92","1.71","6","23.78","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q28_0028\v867q_clean_2012_2019__q28_0028.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q28_0028.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q28_0028\v867q_clean_2012_2019__q28_0028.ini","quarter=28"
"v867q_clean_2012_2019__q29_0029","2012-2019","29","2019.01.01","2019.03.31","completed","-4252.12","0.46","13","32.72","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q29_0029\v867q_clean_2012_2019__q29_0029.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q29_0029.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q29_0029\v867q_clean_2012_2019__q29_0029.ini","quarter=29"
"v867q_clean_2012_2019__q30_0030","2012-2019","30","2019.04.01","2019.06.30","completed","4732.08","1.98","9","21.57","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q30_0030\v867q_clean_2012_2019__q30_0030.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q30_0030.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q30_0030\v867q_clean_2012_2019__q30_0030.ini","quarter=30"
"v867q_clean_2012_2019__q31_0031","2012-2019","31","2019.07.01","2019.09.30","completed","-2237.68","0.56","8","26.98","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q31_0031\v867q_clean_2012_2019__q31_0031.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q31_0031.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q31_0031\v867q_clean_2012_2019__q31_0031.ini","quarter=31"
"v867q_clean_2012_2019__q32_0032","2012-2019","32","2019.10.01","2019.12.31","completed","-2650.76","0.15","8","21.09","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q32_0032\v867q_clean_2012_2019__q32_0032.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q32_0032.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q32_0032\v867q_clean_2012_2019__q32_0032.ini","quarter=32"
