2024.05.23 16:04 | 平仓: 买入 | 订单: 321 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.23 16:04 | 平仓: 买入 | 订单: 320 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.05.23 16:24 | 平仓: 买入 | 订单: 322 | 盈亏: 3.02 | 原因: 应急仓位盈利目标平仓
2024.05.23 16:25 | 平仓: 买入 | 订单: 323 | 盈亏: 2.72 | 原因: 应急仓位盈利目标平仓
2024.05.23 16:35 | 平仓: 买入 | 订单: 324 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.23 17:17 | 平仓: 买入 | 订单: 326 | 盈亏: -40.06 | 原因: 应急仓位止损平仓
2024.05.23 17:17 | 平仓: 买入 | 订单: 325 | 盈亏: -40.74 | 原因: 应急仓位止损平仓
2024.05.24 12:11 | 平仓: 买入 | 订单: 364 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.24 12:11 | 平仓: 买入 | 订单: 363 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.24 16:08 | 平仓: 买入 | 订单: 370 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.24 16:08 | 平仓: 买入 | 订单: 369 | 盈亏: 2.78 | 原因: 应急仓位盈利目标平仓
2024.05.24 17:02 | 平仓: 买入 | 订单: 373 | 盈亏: 2.86 | 原因: 应急仓位盈利目标平仓
2024.05.24 17:02 | 平仓: 买入 | 订单: 372 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.27 04:12 | 平仓: 买入 | 订单: 381 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.05.27 04:12 | 平仓: 买入 | 订单: 382 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.05.27 04:33 | 平仓: 买入 | 订单: 383 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
