Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,EMA_MA5,EMA_MA20,EMA_MA60,EMA_MA250,ADX,Plus_DI,Minus_DI,BB_Mid,BB_Upper,BB_Lower,BB_Width,RSI,OBV,OBV_MA20,Volume_MA20,Volume_Ratio,MACD,MACD_Signal,MACD_Hist,Year,Month,Daily_Return,Weekly_Return,Monthly_Return,Volatility_30d
2024-06-03 00:00:00+00:00,67753.8984375,70230.8203125,67589.8359375,68804.78125,32401285324,0.0,0.0,68000.07300705805,66976.82717551544,68023.9453125,68105.2740234375,,,33.21985091040742,24.162030958973453,11.668229136166095,68105.2740234375,70959.40618155108,65251.141865323916,0.08381530502707826,57.45856252794009,-55911147745.0,-63559190180.25,28225565479.5,1.1479410517933748,1023.2458315426047,1216.7573100269217,-193.51147848431697,2024,6,0.015544720172089965,-0.008498843175172577,0.0769008506062252,0.49048538772094946
2024-06-04 00:00:00+00:00,68804.5703125,71047.40625,68564.640625,70567.765625,33149696545,0.0,0.0,68395.10264058757,67242.822616218,68464.5,68320.2876953125,,,33.68329167392119,24.86375516641003,10.730128250920087,68320.2876953125,71238.67367733447,65401.901713290514,0.08543248515103115,62.640931059210295,-22761451200.0,-64827873727.3,27892291953.05,1.188489515339922,1152.2800243695674,1203.861852895451,-51.581828525883566,2024,6,0.025622992224831664,0.033260214351178874,0.1020852283160596,0.4968973845134417
2024-06-05 00:00:00+00:00,70568.3515625,71735.4140625,70390.7109375,71082.8203125,32810771409,0.0,0.0,68808.59766703565,67527.26689001668,69182.78125,68612.849609375,,,34.3855942592031,26.04185400188519,10.249485881366233,68612.849609375,71397.59277341462,65828.10644533538,0.0811726427307321,64.01994152411446,10049320209.0,-62877364804.2,27954176623.8,1.173734138213362,1281.3307770189713,1219.355637720155,61.9751392988162,2024,6,0.007298724608017615,0.051861873693352045,0.1254057417752814,0.49315615933408813
2024-06-06 00:00:00+00:00,71082.84375,71625.734375,70119.125,70757.1640625,25223152007,0.0,0.0,69108.3771124917,67766.51853242284,69792.8265625,68798.1140625,,,34.76972593824094,24.706526580619226,10.64825142939446,68798.1140625,71638.06432955319,65958.1637954468,0.08255895690609273,62.450312958920435,-15173831798.0,-63589577446.95,27813770258.65,0.9068584292039902,1341.8585800688597,1243.856226189896,98.00235387896373,2024,6,-0.004581363662391591,0.034991181867455756,0.13511466210728318,0.4902707734501513
2024-06-07 00:00:00+00:00,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096,0.0,0.0,69144.40923941605,67883.26426613226,70111.0234375,68918.203125,,,33.69707209563785,21.96840255565662,14.721252059267364,68918.203125,71627.58961863183,66208.81663136817,0.07862615015419637,56.02471591118547,-51362212894.0,-65275595274.2,28787575443.15,1.2570833263629715,1261.1449732837937,1247.3139756086755,13.83099767511817,2024,6,-0.01999201273457618,0.02742825736745913,0.13327208505199106,0.4912397693480054
2024-06-08 00:00:00+00:00,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861,0.0,0.0,69169.23450065973,67988.6353158632,70211.221875,69069.5734375,,,32.701036384649264,21.722470308001057,14.556450335606877,69069.5734375,71479.72301165258,66659.42386334743,0.06978903891258224,55.86362869801051,-65624398755.0,-66712267667.6,28538230009.3,0.499757197848369,1180.5991847965342,1233.9710174462473,-53.37183264971304,2024,6,-0.0005308786729295578,0.023614063736083102,0.09921992665786505,0.48245416241248906
2024-06-09 00:00:00+00:00,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500,0.0,0.0,69242.88952940439,68111.55063968814,70027.2671875,68979.56328125,,,31.93919264956104,22.23884537827705,14.207755254428648,68979.56328125,71136.88078066314,66822.24578183686,0.06254946818428297,57.09857008268986,-52090370255.0,-69664771421.85,27022398648.45,0.500844824179822,1131.3388897162513,1213.4445919002483,-82.10570218399698,2024,6,0.00493781012787653,0.02799034386295074,0.14566228474278442,0.46118916865287096
2024-06-10 00:00:00+00:00,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541,0.0,0.0,69284.33440949602,68215.3084626742,69713.159375,68948.35078125,,,31.422232810550184,22.71426030347388,13.715476104113636,68948.35078125,71052.59803600545,66844.10352649455,0.06103836367113467,56.42433414651078,-72688069796.0,-71300559853.65,25705683326.0,0.801289710130618,1069.0259468218137,1184.5608628845614,-115.5349160627477,2024,6,-0.0019485261992140401,0.010282715636131812,0.14341237239923177,0.4614972412965696
2024-06-11 00:00:00+00:00,69508.078125,69549.4140625,66123.6015625,67332.03125,37116136345,0.0,0.0,68983.98007726586,68149.88052099463,69028.1328125,68858.835546875,,,29.71544050650375,19.926326969120893,23.170268266447557,68858.835546875,71080.93871692967,66636.73237682032,0.0645408291443441,46.852492747241236,-109804206141.0,-73152027016.85,25921362057.4,1.4318744617975863,834.0995562712342,1114.468601561896,-280.3690452906619,2024,6,-0.03136496113771259,-0.04585286704690106,0.09574923419289405,0.47769835630910246
2024-06-12 00:00:00+00:00,67321.375,69977.890625,66902.453125,68241.1875,34497940694,0.0,0.0,68869.70429614803,68156.64400092095,68807.853125,68874.416796875,,,27.84681530491534,19.290501759331534,20.7124829294007,68874.416796875,71073.33337576572,66675.50021798427,0.06385292772426052,50.614707631358456,-75306265447.0,-71183813096.4,25551475043.15,1.3501349975193868,713.0602952270856,1034.186940294934,-321.12664506784836,2024,6,0.013502581655740586,-0.03997636559730444,0.08489054461496104,0.47356510893050835
2024-06-13 00:00:00+00:00,68243.1015625,68365.78125,66304.5625,66756.3984375,28955204146,0.0,0.0,68544.58031789449,68052.9221073342,68297.978125,68785.931640625,,,26.473996576156257,17.91861229242037,21.302342557403694,68785.931640625,71177.82355355842,66394.03972769158,0.0695459625503065,45.010830115212634,-104261469593.0,-72123224790.9,25539369842.8,1.1337477911250415,491.65821056028653,925.6811943480045,-434.022983787718,2024,6,-0.021757960505889518,-0.05654219863116772,0.08453896978927,0.4737724153354557
2024-06-14 00:00:00+00:00,66747.5703125,67294.6484375,65056.89453125,66011.09375,27403884779,0.0,0.0,68154.81315360303,67901.67556234649,67570.5984375,68623.1890625,,,25.889135757729598,16.543097252495897,23.947115297651507,68623.1890625,71303.13631824014,65943.24180675985,0.07810617059196501,42.46904863831299,-131665354372.0,-75206484311.4,26135910494.7,1.0485146398307847,253.13759125654178,791.172473729712,-538.0348824731702,2024,6,-0.011164543099157487,-0.048043956573854185,-0.003869143512697515,0.3944324871117179
2024-06-15 00:00:00+00:00,66006.7421875,66402.1875,65871.7734375,66191.0,14121265576,0.0,0.0,67852.68805304871,67774.95885402453,66906.3421875,68506.834375,,,25.346050712047703,16.225162921487897,23.486886480427962,68506.834375,71399.61258758859,65614.05616241142,0.08445225177837845,43.30136961089645,-117544088796.0,-76802258866.25,26060552086.65,0.5418636385387199,77.72919902417925,648.4838187886055,-570.7546197644263,2024,6,0.0027253941690672523,-0.044942481455876204,0.014707875217411903,0.3904101600257242
2024-06-16 00:00:00+00:00,66189.359375,66894.84375,66018.25,66639.046875,13281140541,0.0,0.0,67665.9740256566,67690.81722594863,66767.7453125,68369.058984375,,,24.451647551932403,17.547316238208854,22.710089596963346,68369.058984375,71345.0941113615,65393.02385738852,0.08705795197990447,45.419199474935496,-104262948255.0,-79027525929.9,25431059577.85,0.5222409432191979,-24.843200292030815,513.8184149724782,-538.661615264509,2024,6,0.006768999939568809,-0.04320218312108104,-0.006156846844327601,0.3786456304072778
